Unnamed: 0,abv,id,name_x,style,brewery_id,ounces,ID,name_y,city,state,city_state
0,0.05,1436,Pub Beer,American Pale Lager,408,12.0,408,10 Barrel Brewing Company,Bend, OR,"Bend,  OR"
1,0.07,2265,Devil's Cup,American Pale Ale (APA),177,12.0,177,18th Street Brewery,Gary, IN,"Gary,  IN"
2,0.07,2264,Rise of the Phoenix,American IPA,177,12.0,177,18th Street Brewery,Gary, IN,"Gary,  IN"
3,0.09,2263,Sinister,American Double / Imperial IPA,177,12.0,177,18th Street Brewery,Gary, IN,"Gary,  IN"
4,0.07,2262,Sex and Candy,American IPA,177,12.0,177,18th Street Brewery,Gary, IN,"Gary,  IN"
5,0.08,2261,Black Exodus,Oatmeal Stout,177,12.0,177,18th Street Brewery,Gary, IN,"Gary,  IN"
6,0.04,2260,Lake Street Express,American Pale Ale (APA),177,12.0,177,18th Street Brewery,Gary, IN,"Gary,  IN"
7,0.07,2259,Foreman,American Porter,177,12.0,177,18th Street Brewery,Gary, IN,"Gary,  IN"
8,0.06,2258,Jade,American Pale Ale (APA),177,12.0,177,18th Street Brewery,Gary, IN,"Gary,  IN"
9,0.09,2131,Cone Crusher,American Double / Imperial IPA,177,12.0,177,18th Street Brewery,Gary, IN,"Gary,  IN"
10,0.07,2099,Sophomoric Saison,Saison / Farmhouse Ale,177,12.0,177,18th Street Brewery,Gary, IN,"Gary,  IN"
11,0.07,2098,Regional Ring Of Fire,Saison / Farmhouse Ale,177,12.0,177,18th Street Brewery,Gary, IN,"Gary,  IN"
12,0.07,2097,Garce Selé,Saison / Farmhouse Ale,177,12.0,177,18th Street Brewery,Gary, IN,"Gary,  IN"
13,0.09,1980,Troll Destroyer,Belgian IPA,177,12.0,177,18th Street Brewery,Gary, IN,"Gary,  IN"
14,0.06,1979,Bitter Bitch,American Pale Ale (APA),177,12.0,177,18th Street Brewery,Gary, IN,"Gary,  IN"
15,0.06,2318,Ginja Ninja,Cider,154,12.0,154,2 Towns Ciderhouse,Corvallis, OR,"Corvallis,  OR"
16,0.06,2170,Cherried Away,Cider,154,12.0,154,2 Towns Ciderhouse,Corvallis, OR,"Corvallis,  OR"
17,0.06,2169,Rhubarbarian,Cider,154,12.0,154,2 Towns Ciderhouse,Corvallis, OR,"Corvallis,  OR"
18,0.06,1502,BrightCider,Cider,154,12.0,154,2 Towns Ciderhouse,Corvallis, OR,"Corvallis,  OR"
19,0.08,1593,He Said Baltic-Style Porter,Baltic Porter,368,12.0,368,21st Amendment Brewery,San Francisco, CA,"San Francisco,  CA"
20,0.08,1592,He Said Belgian-Style Tripel,Tripel,368,12.0,368,21st Amendment Brewery,San Francisco, CA,"San Francisco,  CA"
21,0.1,1036,Lower De Boom,American Barleywine,368,8.4,368,21st Amendment Brewery,San Francisco, CA,"San Francisco,  CA"
22,0.08,1024,Fireside Chat,Winter Warmer,368,12.0,368,21st Amendment Brewery,San Francisco, CA,"San Francisco,  CA"
23,0.08,976,Marooned On Hog Island,American Stout,368,12.0,368,21st Amendment Brewery,San Francisco, CA,"San Francisco,  CA"
24,0.04,876,Bitter American,American Pale Ale (APA),368,12.0,368,21st Amendment Brewery,San Francisco, CA,"San Francisco,  CA"
25,0.05,802,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,368,12.0,368,21st Amendment Brewery,San Francisco, CA,"San Francisco,  CA"
26,0.05,801,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,368,12.0,368,21st Amendment Brewery,San Francisco, CA,"San Francisco,  CA"
27,0.05,800,21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,368,12.0,368,21st Amendment Brewery,San Francisco, CA,"San Francisco,  CA"
28,0.07,799,21st Amendment IPA (2006),American IPA,368,12.0,368,21st Amendment Brewery,San Francisco, CA,"San Francisco,  CA"
29,0.07,797,Brew Free! or Die IPA (2008),American IPA,368,12.0,368,21st Amendment Brewery,San Francisco, CA,"San Francisco,  CA"
30,0.07,796,Brew Free! or Die IPA (2009),American IPA,368,12.0,368,21st Amendment Brewery,San Francisco, CA,"San Francisco,  CA"
31,0.09,531,Special Edition: Allies Win The War!,English Strong Ale,368,12.0,368,21st Amendment Brewery,San Francisco, CA,"San Francisco,  CA"
32,0.1,432,Hop Crisis,American Double / Imperial IPA,368,12.0,368,21st Amendment Brewery,San Francisco, CA,"San Francisco,  CA"
33,0.04,353,Bitter American (2011),American Pale Ale (APA),368,12.0,368,21st Amendment Brewery,San Francisco, CA,"San Francisco,  CA"
34,0.08,321,Fireside Chat (2010),Winter Warmer,368,12.0,368,21st Amendment Brewery,San Francisco, CA,"San Francisco,  CA"
35,0.07,173,Back in Black,American Black Ale,368,12.0,368,21st Amendment Brewery,San Francisco, CA,"San Francisco,  CA"
36,0.08,11,Monk's Blood,Belgian Dark Ale,368,12.0,368,21st Amendment Brewery,San Francisco, CA,"San Francisco,  CA"
37,0.07,10,Brew Free! or Die IPA,American IPA,368,12.0,368,21st Amendment Brewery,San Francisco, CA,"San Francisco,  CA"
38,0.05,9,Hell or High Watermelon Wheat,Fruit / Vegetable Beer,368,12.0,368,21st Amendment Brewery,San Francisco, CA,"San Francisco,  CA"
39,0.07,2519,Bimini Twist,American IPA,67,12.0,67,3 Daughters Brewing,St Petersburg, FL,"St Petersburg,  FL"
40,0.05,2518,Beach Blonde,American Blonde Ale,67,12.0,67,3 Daughters Brewing,St Petersburg, FL,"St Petersburg,  FL"
41,0.06,2517,Rod Bender Red,American Amber / Red Ale,67,12.0,67,3 Daughters Brewing,St Petersburg, FL,"St Petersburg,  FL"
42,0.04,2545,Passion Fruit Prussia,Berliner Weissbier,60,12.0,60,4 Hands Brewing Company,Saint Louis, MO,"Saint Louis,  MO"
43,0.04,2544,Send Help,American Blonde Ale,60,12.0,60,4 Hands Brewing Company,Saint Louis, MO,"Saint Louis,  MO"
44,0.06,2324,Cast Iron Oatmeal Brown,American Brown Ale,60,12.0,60,4 Hands Brewing Company,Saint Louis, MO,"Saint Louis,  MO"
45,0.06,2288,Reprise Centennial Red,American Amber / Red Ale,60,12.0,60,4 Hands Brewing Company,Saint Louis, MO,"Saint Louis,  MO"
46,0.06,2287,Alter Ego,American Black Ale,60,12.0,60,4 Hands Brewing Company,Saint Louis, MO,"Saint Louis,  MO"
47,0.07,2286,Divided Sky,American IPA,60,12.0,60,4 Hands Brewing Company,Saint Louis, MO,"Saint Louis,  MO"
48,0.07,2285,Resurrected,American IPA,60,12.0,60,4 Hands Brewing Company,Saint Louis, MO,"Saint Louis,  MO"
49,0.05,1870,Contact High,American Pale Wheat Ale,60,12.0,60,4 Hands Brewing Company,Saint Louis, MO,"Saint Louis,  MO"
50,0.07,2603,Galaxyfest,American IPA,27,16.0,27,450 North Brewing Company,Columbus, IN,"Columbus,  IN"
51,0.05,2602,Citrafest,American IPA,27,16.0,27,450 North Brewing Company,Columbus, IN,"Columbus,  IN"
52,0.09,2220,Barn Yeti,Belgian Strong Dark Ale,27,16.0,27,450 North Brewing Company,Columbus, IN,"Columbus,  IN"
53,0.07,2219,Scarecrow,American IPA,27,16.0,27,450 North Brewing Company,Columbus, IN,"Columbus,  IN"
54,0.09,2218,Ironman,English Strong Ale,27,16.0,27,450 North Brewing Company,Columbus, IN,"Columbus,  IN"
55,0.05,2217,Honey Kolsch,Kölsch,27,16.0,27,450 North Brewing Company,Columbus, IN,"Columbus,  IN"
56,0.05,2216,Copperhead Amber,Belgian Dark Ale,27,16.0,27,450 North Brewing Company,Columbus, IN,"Columbus,  IN"
57,0.06,972,Rude Parrot IPA,American IPA,481,16.0,481,7 Seas Brewing Company,Gig Harbor, WA,"Gig Harbor,  WA"
58,0.05,866,British Pale Ale (2010),English Pale Ale,481,16.0,481,7 Seas Brewing Company,Gig Harbor, WA,"Gig Harbor,  WA"
59,0.05,48,British Pale Ale,English Pale Ale,481,16.0,481,7 Seas Brewing Company,Gig Harbor, WA,"Gig Harbor,  WA"
60,0.08,47,Ballz Deep Double IPA,American Double / Imperial IPA,481,16.0,481,7 Seas Brewing Company,Gig Harbor, WA,"Gig Harbor,  WA"
61,0.04,1583,Wolfman's Berliner,Berliner Weissbier,373,12.0,373,7venth Sun,Dunedin, FL,"Dunedin,  FL"
62,0.06,1165,Colorado Native,American Amber / Red Lager,462,12.0,462,AC Golden Brewing Company,Golden, CO,"Golden,  CO"
63,0.06,431,Colorado Native (2011),American Amber / Red Lager,462,12.0,462,AC Golden Brewing Company,Golden, CO,"Golden,  CO"
64,0.07,516,Jockamo IPA,American IPA,533,12.0,533,Abita Brewing Company,Abita Springs, LA,"Abita Springs,  LA"
65,0.04,515,Purple Haze,Fruit / Vegetable Beer,533,12.0,533,Abita Brewing Company,Abita Springs, LA,"Abita Springs,  LA"
66,0.04,514,Abita Amber,American Amber / Red Lager,533,12.0,533,Abita Brewing Company,Abita Springs, LA,"Abita Springs,  LA"
67,0.08,2540,Citra Ass Down,American IPA,62,16.0,62,Against The Grain Brewery,Louisville, KY,"Louisville,  KY"
68,0.05,2539,The Brown Note,American Brown Ale,62,16.0,62,Against The Grain Brewery,Louisville, KY,"Louisville,  KY"
69,0.08,2686,Citra Ass Down,American Double / Imperial IPA,1,16.0,1,Against the Grain Brewery,Louisville, KY,"Louisville,  KY"
